bibcode;labelDE;name;address - strasse;adresse - nummer;adresse - zusatz;zip;city;country;mail;kontakt - name;kontakt - vorname;kontakt - anrede;kontakt - email;korrespondenzsprache;bfs code;worldcat ja/nein;WorldCat Symbol;CBS Library Code;Verrechnung Kostenbeitrag (Auswahl);Kostenbeitrag basiert auf;Zusage Kostenbeitrag ja/nein;Beitrag 2018;Beitrag 2019;Beitrag 2020;Bemerkung Kostenbeitrag;Rechnungsadresse = Postadresse ja/nein;Rechnungsadresse - name;Rechnungsadresse - strasse;Rechnungsadresse - nummer;Rechnungsadresse - zusatz;Rechnungsadresse - plz;Rechnungsadresse - ort;Rechnungsadresse - country;Kontakt Rechnung - Name;Kontakt Rechnung - Vorname;Kontakt Rechnung - Anrede;Kontakt Rechnung - mail;mwst ja/nein;Grund Mehrwertsteuerbefreiung;e-rechnung ja/nein;Bemerkung Rechnungsstellung;Koordinaten;admininstitution bfs code;Kostenbeitrag über Verbund / Zugehörigkeit;Kostenbeitrag über Uni/FH - Uni;Zugehörigkeit Institution;SAP - Name 1 (35 Zeichen);SAP - Name 2 (35 Zeichen);SAP - Name 3 (35 Zeichen);SAP - Name 4 (35 Zeichen)
N07;BFH - Wirtschaft, Bern;Berner Fachhochschule Fachbereich Wirtschaft - Bibliothek;Brückenstrasse ;73;;3005;Bern;ch;bibliothek.wirtschaft@bfh.ch;Graf;Georg;Herr;georg.graf@bfh.ch;g;U5001_104;;CHBSB;8049;direkt;BfS-Zahlen;ja;536;1072;1072;;nein;"Berner Fachhochschule ; Zentraler Rechnungseingang";Falkenplatz;24;Georg.graf@bfh.ch;3012;Bern;ch;;;;;nein;BFK;nein;;46.9424204, 7.4404582;;;;;Berner Fachhochschule;Fachbereich Wirtschaft;Bibliothek;
N08;Israelitische Cultusgemeinde Zürich;ICZ, Bibliothek der Israelitischen Cultusgemeinde Zürich;Lavaterstrasse ;33;;8002;Zürich;ch;;Paul;Kerstin;Frau;kerstin.paul@icz.org;g;;;CHICZ;8112;direkt;Anzahl Aufnahmen;ja;200;400;400;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Israelitischen Cultusgemeinde;Bibliothek;;
N09;Jesuitenbibliothek, Zürich;Jesuitenbibliothek;Hirschengraben ;74;;8001;Zürich;ch;bibliothek@aki-zh.ch;Schraner;Anita;Frau;anita.schraner@jesuitenbibliothek.ch;g;;;CHJES;8113;direkt;Anzahl Aufnahmen;ja;250;500;500;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Jesuitenbibliothek;;;
N10;FHNW - Soziale Arbeit, Basel;Fachhochschule Nordwestschweiz, Hochschule für Soziale Arbeit;Thiersteinerallee ;57;;4053;Basel;ch;;Forster;Brigitte;Frau;brigitte.forster@fhnw.ch;g;U5005_111;;CHFNB;8049;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;nein;BFK;;;;;;;FHNWCM;;;;
N11;FIFA Museum, Zürich;FIFA World Football Museum Library;Seestrasse ;27;;8002;Zürich;ch;library@fifamuseum.org;;;;;g;;;CHWFM;8049;Keine Verrechnung;;;;;;Zum Zeitpunkt der Ausarbeitung Kostenbeiträge keine Treffer;;;;;;;;;;;;;;;;;;;;;;;;;
N12;Pädagogische Hochschule, Chur;Pädagogische Hochschule (PH);Scalärastr. ;17;;7000;Chur;ch;;Mayer;Susanne;Frau;Susanne.Mayer@phgr.ch;g;U9003;;CHPHG;8114;direkt;BfS-Zahlen;ja ;318;637;637;;ja;;;;;;;;;;;;nein;BFK;nein;;;;;;;Pädagogische Hochschule (PH);;;
N13;Hochschulen Physiotherapie Landquart ;Hochschulen Physiotherapie Landquart;Weststrasse ;8;;7302;Landquart;ch;bibliothek.deass@supsi.ch;;;;;g;;;CHHPL;8115;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U5002;;SUPSI;SUPSI;;;;
NAT;Naturama Aarau;Aargauer Kantonsbibliothek, Aarau;Feerstrasse ;17;;5001;Aarau;ch;;;;;;g;;;CHAKB;8095;Über Institution;Freiwilliger Beitrag;ja;0;0;0;;;;;;;;;;;;;;ja;;;;47.3926143, 8.0513999;;ABN;;ABNKB;;;;
NATIONALLICENCE;Nationallizenzen;Nationallizenzen;;;;;;ch;;;;;;g;;nein;;;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NB001;Schweizerische Nationalbibliothek (NB), Bern;Schweizerische Nationalbibliothek NB;Hallwylstrasse ;15;;3000;Bern;ch;info@nb.admin.ch;;;;;g;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.9413136, 7.4496912;U1001;;SNL;SNL;;;;
NB999;Schweizerische Nationalbibliothek (NB), Bern - Bibliothek fehlt;Nationalbibliothek;;;;;;ch;;;;;;g;;nein;;;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NHS;Nietzschehaus Sils / ikg Chur;Nietzschehaus / ikg (NHS);Via da Marias ;67;;7514;Sils;ch;nietzschehaus@gmail.com;;;;;g;;;CHKBG;8094;Über Institution;Freiwilliger Beitrag;ja;0;0;0;;;;;;;;;;;;;;ja;;;;46.4294445, 9.7646219;;BGR;;BGRKB;;;;
NKS;Neue Kantonsschule Aarau;Neue Kantonsschule, Mediothek;Schanzmättelistrasse ;32;;5000;Aarau;ch;;;;;;g;;;CHAKB;8095;Über Institution;Anzahl Aufnahmen;ja;125;250;250;;;;;;;;;;;;;;ja;;;;47.3865612, 8.044523;;ABN;;ABNKB;;;;
NL-cambridge;Nationallizenzen (Cambridge);Nationallizenzen (Cambridge);;;;;;ch;;;;;;g;;nein;;;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL-gruyter;Nationallizenzen (De Gruyter);Nationallizenzen (De Gruyter);;;;;;ch;;;;;;g;;nein;;;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL-oxford;Nationallizenzen (Oxford);Nationallizenzen (Oxford);;;;;;ch;;;;;;g;;nein;;;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL-springer;Nationallizenzen (Springer);Nationallizenzen (Springer);;;;;;ch;;;;;;g;;nein;;;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM;Naturmuseum Thurgau, Frauenfeld;Naturmuseum Thurgau;Freie Strasse ;24;;8510;Frauenfeld;ch;naturmuseum@tg.ch;;;;;g;;nein;;;Über Institution;Freiwilliger Beitrag;ja;0;0;0;;;;;;;;;;;;;;;;;;;;;;KBTG;;;;
nyonadu;Bibliothèque communale de Nyon - Adultes;Bibliothèque communale de Nyon - secteur adultes;Av. Viollier ;10;;1260;Nyon;ch;bibliotheque.adultes@nyon.ch;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U4038;;BIBNY;BIBNY;;;;
nyonjeu;Bibliothèque communale de Nyon - Jeunesse;Bibliothèque communale de Nyon - section jeunesse;Chemin de Crève-Coeur ;3;;1260;Nyon;ch;bibliotheque.jeunes@nyon.ch;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U4038;;BIBNY;BIBNY;;;;
OGB;Obergerichtsbibliothek Aarau;Obergerichtsbibliothek des Kantons Aargau, Aarau;Obere Vorstadt ;38;;5000;Aarau;ch;obergerichtsbibliothek@ag.ch;;;;;g;;;CHAKB;8095;Über Institution;Anzahl Aufnahmen;ja;75;150;150;;;;;;;;;;;;;;ja;;;;47.3889512, 8.0467222;;ABN;;ABNKB;;;;
ollon;Bibliothèque scolaire d'Ollon;EPS d'Ollon, Bibliothèque scolaire;Collège de Perrosalle;;;1867;Ollon;ch;biblioollon@ollon.educanet2.ch;;;;;f;;nein;;;direkt;Anzahl Aufnahmen;nein;100;200;200;;ja;;;;;;;;;;;;ja;;nein;;;;;;;EPS d'Ollon;Bibliothèque scolaire;;
ophtal;Hôpital ophtalmique Jules Gonin, Lausanne;  Hôpital ophtalmique Jules Gonin  Bibliothèque;Avenue de France ;15;;1004;Lausanne;ch;bibliotheque@fa2.ch;;;;;f;;nein;;;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Hôpital ophtalmique Jules Gonin;Bibliothèque;;
orbe;BiblioOrbe;Bibliothèque publique et scolaire de la région d'Orbe;Rue de la Tournelle ;2;;1350;Orbe;ch;biblio@orbe.ch;;;;;f;;nein;;;Keine Verrechnung;;;;;;1 Treffer;;;;;;;;;;;;;;;;;;;;;;;;;
oron;Bibliothèque scolaire d'Oron-Palézieux - Oron-la-Ville; Bibliothèque scolaire d'Oron-Palézieux;Route de Lausanne ;10;;1610;Oron-la-Ville;ch;bibliotheque@esoron.educanet2.ch;;;;;f;;nein;;;direkt;Anzahl Aufnahmen;offen;75;150;150;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Bibliothèque scolaire;d'Oron-Palézieux;;
path;CHUV - Pathologie (IUP), Lausanne; Institut universitaire de pathologie  Bibliothèque;Rue du Bugnon ;25;;1005;Lausanne;ch;;Joris;Véronique;Frau;veronique.joris@chuv.ch;f;;nein;;;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;nein;BFK;nein;;;;;;;Inst. universitaire de pathologie;Bibliothèque;;
PDB;PDB Klinik Beverin, Cazis;Ärztebibliothek Psychiatrische Dienste Graubünden, Klinik Beverin (PDB);Beverin;;;7403;Cazis;ch;info@pdgr.ch;;;;;g;;;CHKBG;8094;Über Institution;Freiwilliger Beitrag;ja;0;0;0;;;;;;;;;;;;;;ja;;;;46.7933026, 9.4312877;;BGR;;BGRKB;;;;
penthaz;Bibliothèque scolaire ES Cossonay-Penthalaz;Bibliothèque scolaire ES Cossonay-Penthalaz;Chemin des Publes;6;;1303;Penthalaz;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U6557;;BIBCOS;BIBCOS;;;;
pepi;Bibliothèque de la Ville de Renens;Centre de documentation scolaire des Pépinières, Renens;Rue du Léman ;10;;1020;Renens;ch;bibliotheque.leman@renens.ch;;;;;f;;nein;;;direkt;Anzahl Aufnahmen;offen;50;100;100;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Centre de documentation scolaire;des Pépinières;;
PFH;Pädagogische Hochschule, Chur;Pädagogische Hochschule (PH);Scalärastr. ;17;;7000;Chur;ch;mediothek@phgr.ch;Mayer;Susanne;Frau;Susanne.Mayer@phgr.ch;g;U9003;;CHKBG;8094;Keine Verrechnung;;;;;;Ist neu N12;;;;;;;;;;;;;;;;;46.8669842, 9.5367209;;;;;;;;
pharm;Uni Lausanne - FBM Biochimie;FBM Biochimie, Bibliothèque;Rue du Bugnon ;27;;1005;Lausanne;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2005;;UNIL;UNIL;;;;
pharma;Uni Lausanne - Pharmacie;Section de pharmacie - BEP  UNIL - Sorge  Bibliothèque;Amphipôle;;;1015;Lausanne;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2005;;UNIL;UNIL;;;;
plaine;Etablissement primaire et secondaire de Chavannes-près-Renens et de St-Sulpice;Collège de La Plaine, Bibliothèque scolaire;Av. de la Concorde ;1;;1022;Chavannes-près-Renens;ch;bibliotheque@chavssu.educanet2.ch;;;;;f;;nein;;;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Collège de La Plaine;Bibliothèque scolaire;;
planta;Bibliothèque scolaire de La Planta, Chavannes-près-Renens ;Bibliothèque scolaire;Av. Concorde ;1;;1022;Chavannes-près-Renens;ch;bibliotheque@chavssu.educanet2.ch;;;;;f;;nein;;;direkt;Anzahl Aufnahmen;offen;100;200;200;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Bibliothèque scolaire;de La Planta;;
prangins;Bibliothèque scolaire de Prangins;Bibliothèque scolaire de Prangins;Rue de la gare ;15;;1197;Prangins;ch;;;;;;f;;nein;;;direkt;;;;;;Neu dazu gekommen, nach Versandaktion;ja;;;;;;;;;;;;;;nein;;;;;;;Bibliothèque scolaire;de Prangins;;
prev;Bibliothèque scolaire de Préverenges; BIBLIOTHÈQUES SCOLAIRES VAUDOISES DGEO  Bibliothèque scolaire de Préverenges;Chemin du Collège ;4;;1028;Préverenges;ch;bibliotheque@epreverenges.educanet2.ch;;;;;f;;nein;;;direkt;Anzahl Aufnahmen;nein;75;150;150;;ja;;;;;;;;;;;;ja;;nein;;;;;;; Bibliothèque scolaire;de Préverenges;;
prex;Bibliothèque scolaire de St-Prex;Bibliothèque scolaire de St-Prex et environs;Collège du Cherrat;;;1162;Saint-Prex;ch;biblio@st-prex.educanet2.ch;;;;;f;;nein;;;direkt;Anzahl Aufnahmen;offen;75;150;150;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Bibliothèque scolaire;de St-Prex et environs;;
prilly;Bibliothèque scolaire de Prilly;Bibliothèque scolaire de Prilly;Chemin de l'Union ;1;;1008;Prilly;ch;biblio@esprilly.educanet2.ch;;;;;f;;nein;;;direkt;Anzahl Aufnahmen;offen;75;150;150;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Bibliothèque scolaire de Prilly;;;
PSCH;Pro Senectute, Zürich;Pro Senectute Bibliothek;Bederstrasse ;33;;8002;Zürich;ch;bibliothek@pro-senectute.ch;;;;;g;;nein;;;Über Institution;Anzahl Aufnahmen;ja;300;600;600;;;;;;;;;;;;;;ja;;;;47.3640587, 8.5293935;;Alexandria;;ALEXKB;;;;
ptlz;Bibliothèque scolaire ES Cossonay-Penthalaz;Bibliothèque scolaire Etablissement secondaire de Cossonay-Penthalaz;Chemin du Collège ;1;;1305;Penthalaz;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U6557;;BIBCOS;BIBCOS;;;;
pullyp;Bibliothèque scolaire primaire Pully-Paudex-Belmont;Etablissement primaire de Pully-Paudex-Belmont, Bibliothèque primaire;Chemin du Fau-Blanc ;15;;1009;Pully;ch;bibliotheque@eppully.educanet2.ch;;;;;f;;nein;;;direkt;Anzahl Aufnahmen;offen;75;150;150;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Etablissement primaire;de Pully-Paudex-Belmont; Bibliothèque primaire;
pullys;Bibliothèque scolaire secondaire Pully;Etablissement secondaire de Pully, Bibliothèque;Chemin du Fau-Blanc ;15;;1009;Pully;ch;biblio@espully.educanet2.ch;La Grive;Céline;Frau;celine.lagrive@vd.ch;f;;nein;;;direkt;Anzahl Aufnahmen;nein;50;100;100;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Etablissement secondaire de Pully;Bibliothèque;;
R001;RERO - Bibliothek fehlt;RERO;;;;;;ch;;;;;;g;;nein;;;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RDRR;Rechtsdienst des Regierungssrats, Aarau;Kanton Aargau, Rechtsdienst des Regierungssrats, Aarau;Laurenzenvorstadt ;9;;5001;Aarau;ch;rechtsdienst.rr@ag.ch;;;;;g;;;CHAKB;8095;Über Institution;Freiwilliger Beitrag;ja;0;0;0;;;;;;;;;;;;;;ja;;;;47.393872, 8.0465797;;ABN;;ABNKB;;;;
RE01001;BCU Fribourg - Centrale;Kantons- und Universitätsbibliothek (KUB);Rue Joseph Piller ;2;;1700;Fribourg;ch;bcu@fr.ch;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8065509, 7.1559955;U2003;;UNIFR;UNIFR;;;;
RE01003;BCU Fribourg - Beauregard;BCU Fribourg - Beauregard;Rue de la Carrière ;22;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8032625, 7.1455338;U2003;;UNIFR;UNIFR;;;;
RE01007;BCU Fribourg;Bibliothèque cantonale et universitaire Fribourg (Centrale et Université);Rue Joseph Piller ;2;;1700;Fribourg;ch;bcu@fr.ch;;;;;f;;nein;;;Über Institution;;;;;;;;;;;;;;;;;;;;;;;46.8065509, 7.1559955;;;;UNIFR;;;;
RE01009;BCU Fribourg - Online;BCU Fribourg - EDOC;;;;;;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2003;;UNIFR;UNIFR;;;;
RE01010;BCU Fribourg - Langues et littératures médiévales et modernes;Bibliothek für mittelalterliche und moderne Sprachen und Literaturen [BLL];Université Miséricorde;;;1700;Freiburg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8064334, 7.1500614;U2003;;UNIFR;UNIFR;;;;
RE01011;BCU Fribourg - Langues étrangères;Bibliothek für Fremdsprachen und Mehrsprachigkeit, [BLE], Selbstlernzentrum Sprachen [SLZ] und Dokumentationsstelle des Kompetenzzentrums für Mehrsprachigkeit [KfM];Rue du Criblet ;13;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8050575, 7.1543031;U2003;;UNIFR;UNIFR;;;;
RE01013;BCU Fribourg - Europe orientale et centrale;Bibliothek des Interfakultären Instituts für Ost- und Ostmitteleuropa [IEO];Route d'Englisberg ;7;;1723;Granges-Paccot;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8284288, 7.1478996;U2003;;UNIFR;UNIFR;;;;
RE01014;BCU Fribourg - Histoire de l'art et philosophie;Bibliothek für Kunstgeschichte und Philosophie [BHAP];Avenue de l'Europe ;20;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8064297, 7.1522554;U2003;;UNIFR;UNIFR;;;;
RE01015;BCU Fribourg - Musicologie;Bibliothek der Musikwissenschaft [MUS];Université Miséricorde;;Bureaux 2031 / 2033;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8064773, 7.1619719;U2003;;UNIFR;UNIFR;;;;
RE01017;BCU Fribourg - Pédagogie curative;Bibliothek für Heilpädagogik [IPC-HPI];Rue St-Pierre-Canisius ;21;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8060469, 7.1581347;U2003;;UNIFR;UNIFR;;;;
RE01018;BCU Fribourg - Pédagogie et psychologie;Bibliothek für Pädagogik und Psychologie [PSPE];Rue P.-A. Faucigny ;2;Site Regina Mundi;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8064773, 7.1619719;U2003;;UNIFR;UNIFR;;;;
RE01019;BCU Fribourg - Sciences de l'Antiquité;Bibliothek der Altertumswissenschaften [SCANT];Rue Pierre-Aeby ;16;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.807194, 7.1600545;U2003;;UNIFR;UNIFR;;;;
RE01021;BCU Fribourg - Sociologie, politiques sociales et travail social;Bibliothek für Soziologie, Sozialpolitik und Sozialarbeit [STS];Route des Bonnesfontaines ;11;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8122262, 7.1457567;U2003;;UNIFR;UNIFR;;;;
RE01030;BCU Fribourg - Histoire et théologie;Interfakultäre Bibliothek für Geschichte und Theologie [BHT];Université Miséricorde;;salles 4211-4215;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8064773, 7.1619719;U2003;;UNIFR;UNIFR;;;;
RE01040;BCU Fribourg - Droit;Bibliothek der Rechtswissenschaftlichen Fakultät [BFD];Av. de l'Europe ;20;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8064297, 7.1522554;U2003;;UNIFR;UNIFR;;;;
RE01041;BCU Fribourg - Droit - Beauregard;BCU Fribourg - Faculté de droit - Beauregard;Université Miséricorde;;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;46.8064773, 7.1619719;;;;UNIFR;;;;
RE01042;BCU Fribourg - Droit européen;BCU Fribourg - Institut de droit européen;Av. de Beauregard ;11;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8022932, 7.1463644;U2003;;UNIFR;UNIFR;;;;
RE01044;BCU Fribourg - Fédéralisme;BCU Fribourg - Institut du fédéralisme;Route d'Englisberg ;7;;1763;Granges-Paccot;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8284288, 7.1478996;U2003;;UNIFR;UNIFR;;;;
RE01046;BCU Fribourg - Economie, société, informatique et sport;BCU Fribourg - Economie, société, informatique et sport;Bd. de Pérolles ;90;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.7939145, 7.159128;U2003;;UNIFR;UNIFR;;;;
RE01050;BCU Fribourg - Sciences - DOKPE;Bibliothèque de la Faculté des sciences (DOKPE);Rue du Musée ;4;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8491766, 6.8485838;U2003;;UNIFR;UNIFR;;;;
RE01051;BCU Fribourg - Sciences - ANAT;Bibliothèque de la Faculté des sciences [DOKPE];Rue du Musée ;4;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;46.8491766, 6.8485838;;;;UNIFR;;;;
RE01052;BCU Fribourg - Sciences - BOT;BCU Fribourg - Faculté des sciences - BOT;Rue du Musée ;4;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;46.8491766, 6.8485838;;;;UNIFR;;;;
RE01053;BCU Fribourg - Chimie;BCU Fribourg - Département de Chimie;Rue du Musée ;9;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8492836, 6.848399;U2003;;UNIFR;UNIFR;;;;
RE01054;BCU Fribourg - Sciences - CHIP;BCU Fribourg - Faculté des sciences - CHIP;Rue du Musée ;4;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;46.8491766, 6.8485838;;;;UNIFR;;;;
RE01055;BCU Fribourg - Sciences - GEOG;BCU Fribourg - Faculté des sciences - GEOG;Rue du Musée ;4;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;46.8491766, 6.8485838;;;;UNIFR;;;;
RE01056;BCU Fribourg - Sciences - GEOL;BCU Fribourg - Faculté des sciences - GEOL;Rue du Musée ;4;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;46.8491766, 6.8485838;;;;UNIFR;;;;
RE01057;BCU Fribourg - Sciences - HIST;BCU Fribourg - Faculté des sciences - HIST;Rue du Musée ;4;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;46.8491766, 6.8485838;;;;UNIFR;;;;
RE01059;BCU Fribourg - Mathématiques;BCU Fribourg - Département de mathématiques;Rue du Musée ;23;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.7914646, 7.1578442;U2003;;UNIFR;UNIFR;;;;
RE01060;BCU Fribourg - Sciences - MIN;BCU Fribourg - Faculté des sciences - MIN;Rue du Musée ;4;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;46.8491766, 6.8485838;;;;UNIFR;;;;
RE01061;BCU Fribourg - Sciences - PHYO;BCU Fribourg - Faculté des sciences - PHYO;Rue du Musée ;4;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;46.8491766, 6.8485838;;;;UNIFR;;;;
RE01062;BCU Fribourg - Sciences - PHYQ;BCU Fribourg - Faculté des sciences - PHYQ;Rue du Musée ;4;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;46.8491766, 6.8485838;;;;UNIFR;;;;
RE01063;BCU Fribourg - Sciences - ZOOL;BCU Fribourg - Faculté des sciences - ZOOL;Rue du Musée ;4;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;46.8491766, 6.8485838;;;;UNIFR;;;;
RE01071;BCU Fribourg - Ethique et droits de l'homme;BCU Fribourg - Institut interfacultaire d'éthique et des droits de l'homme;Rue Saint-Michel ;6;;1700;Fribourg;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.806087, 7.1561693;U2003;;UNIFR;UNIFR;;;;
RE01077;Bibliothèque scolaire Lec'Tour, La Tour-de-Trême;Bibliothèque scolaire Lec'Tour;Rue des Ecoles ;3;;1635;La Tour-de-Trême;ch;;Ruffieux;Lise;Frau;lise.ruffieux@bulle.ch;f;;nein;;;direkt;Freiwilliger Beitrag;nein;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;46.6101185, 7.0655628;;;;;Bibliothèque scolaire Lec'Tour;;;
RE01078;Couvent des Cordeliers Fribourg;Bibliothèque du Couvent des Cordeliers;Rue de Morat ;6;;1700;Fribourg;ch;;Zimmer;Petra;Frau;petra.zimmer@cordeliers.ch;f;;nein;;;direkt;Freiwilliger Beitrag;ja;25;50;50;;ja;;;;;;;;;;;;ja;;nein;;46.8073483, 7.160604;;;;;Couvent des Cordeliers;Bibliothèque;;
RE01079;Archives de l'Etat de Fribourg;Archives de l'Etat de Fribourg;Route des Arsenaux ;17;;1700;Fribourg;ch;archivesetat@fr.ch;Dafflon;Alexandre;Herr;Alexandre.Dafflon@fr.ch;f;;nein;;;direkt;Anzahl Aufnahmen;ja;100;200;200;;ja;;;;;;;;;;;;ja;;nein;;46.7983278, 7.1501106;;;;;Archives de l'Etat de Fribourg;;;
RE01081;Hôpital cantonal, Fribourg;Hôpital cantonal, Fribourg;Rte de Bertigny;;;1708;Fribourg;ch;info@h-fr.ch;;;;;f;;nein;;;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Hôpital cantonal;;;
RE01082;Fachbibliothek Justizvollzug (SAZ), Fribourg;Fachbibliothek Justizvollzug SAZ;Av. Beauregard ;11;;1700;Fribourg;ch;biblio@prison.ch;;;;;g;;nein;;;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;46.8022932, 7.1463644;;;;;Fachbibliothek Justizvollzug SAZ;;;
